,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,516,FIDS - Display 517,Baggage Claim F15 T2F,2F Umroh,Baggage Claim,172.17.106.172,Malaysia,Dell,D15U,,HDMI,500 GB,8 GB,Win 11,,,,Korea,Samsung,PM55H,046KHNFM800062A,"HDMI, DP","55""",,,,,,,,,,
,517,FIDS - Display 518,Baggage Claim F16 T2F,2F Umroh,Baggage Claim,172.17.106.173,Taiwan,Asus,E520,K3MSAC004262PZ2,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400411E,"HDMI, DP","55""",,,,,,,,,,
,518,FIDS - Display 519,Baggage Claim F15 Kiri T2F,2F Umroh,Baggage Claim,172.17.106.174,Taiwan,Asus,E520,K3MSAC004235D7W,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400260J,"HDMI, DP","55""",,,,,,,,,,
,519,FIDS - Display 520,Baggage Claim F15 Kanan T2F,2F Umroh,Baggage Claim,172.17.106.175,Taiwan,Asus,E520,K3MSAC004214DZA,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800118K,"HDMI, DP","55""",,,,,,,,,,
,520,FIDS - Display 521,Baggage Claim F16 Kiri T2F,2F Umroh,Baggage Claim,172.17.106.176,Taiwan,Asus,E520,K1MSAC003593,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400426H,"HDMI, DP","55""",,,,,,,,,,
,521,FIDS - Display 522,Baggage Claim F16 Kanan T2F,2F Umroh,Baggage Claim,172.17.106.177,Taiwan,Asus,E520,K1MSAC003611,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800077F,"HDMI, DP","55""",,,,,,,,,,
,522,FIDS - Display 523,Plaza Arrival Lounge Umroh Ujung Kiri T2F,2F Umroh,Arrival,172.17.106.53,Taiwan,Asus,E520,K1MSAC0042518TN,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400464F,"HDMI, DP","55""",,,,,,Mini PC Asus Mati Total,,,,
,523,FIDS - Display 524,Plaza Arrival Lounge Umroh Tengah T2F,2F Umroh,Arrival,172.17.106.52,Taiwan,Asus,E520,K3MSAC0042413SF,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400115B,"HDMI, DP","55""",,,,,,,,,,
,524,FIDS - Display 525,Plaza Arrival Lounge Umroh Depan Pintu Kanan T2F,2F Umroh,Arrival,172.17.106.51,Taiwan,Asus,E520,K3MSAC004201Y87,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800064F,"HDMI, DP","55""",,,,,,,,,,
,525,FIDS - Display 526,Arrival Lounge Umroh Depan Pintu Masuk Dalam T2F,2F Umroh,Arrival,172.17.106.54,Taiwan,Asus,E520,K3MSAC0042032N4,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800081Z,"HDMI, DP","55""",,,,,,,,,,
,526,FIDS - Display 527,Arrival Lounge Umroh Depan Pintu Hydrant T2F,2F Umroh,Arrival,172.17.106.55,Taiwan,Asus,E520,K1MSAC003561,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800075A,"HDMI, DP","55""",,,,,,,,,,
,527,FIDS - Display 528,Arrival Lounge Umroh Depan TV Hiburan Dekat Lift T2F,2F Umroh,Arrival,172.17.106.56,Taiwan,Asus,E520,k1MSAC003608,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400060Y,"HDMI, DP","55""",,,,,,,,,,
,528,FIDS - Display 529,Arrival Lounge Umroh Dalam Samping Hydrant T2F,2F Umroh,Arrival,172.17.106.57,Taiwan,Asus,E520,K3MSAC0042053FY,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400493M,"HDMI, DP","55""",,,,,,,,,,
,529,FIDS - Display 530,Arrival Lounge Umroh Ujung Tiang T2F,2F Umroh,Arrival,172.17.106.58,China,LENOVO,ThinkEdge 12NLS08R00,PF6FWW7,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM400473A,"HDMI, DP","55""",,,,,,,,,,
,530,FIDS - Display 531,Meeting Point T2F Umroh Kanan,2F Umroh,Departure,172.17.106.70,China,Asus,E520,K1MSAC003589,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400018E,,"55""",,100,,,,,,,,
,531,FIDS - Display 532,Meeting Point T2F Umroh Kiri,2F Umroh,Departure,172.17.106.71,China,Asus,E520,K3MSAC004296WPD,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800116M,,"55""",,100,,,,,,,,
,532,FIDS - Display 533,General Departure Gate 6 Kiri ,2F Umroh,Departure,172.17.106.73,China,Asus,E520,K3MSAC0043004NN,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800107X,,"55""",,100,,,,,,,,
,533,FIDS - Display 534,General Departure Gate 6 Kanan,2F Umroh,Departure,172.17.106.76,China,Asus,E520,K3MSAC004206XCV,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400216V,,"55""",,100,,,,,,,,
,534,FIDS - Display 535,General Departure Pintu 6 Samping Lift Kiri ,2F Umroh,Departure,172.17.106.74,China,Asus,E520,K1MSAC003569,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400055W,,"55""",,100,,,,,,,,
,535,FIDS - Display 536,General Departure Pintu 6 Samping Lift Kanan,2F Umroh,Departure,172.17.106.75,China,Asus,E520,,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600076,,"55""",,100,,,,,,,,
,536,FIDS - Display 537,General Boarding Dekat Pintu Masuk Kiri,2F Umroh,Departure,172.17.106.72,China,Asus,E520,K3MSAC004263W2V,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400111J,,"55""",,100,,,,,,,,
,537,FIDS - Display 538,General Boarding Umroh Lounge Dalam Depan Pintu Masuk Kiri,2F Umroh,Departure,172.17.106.181,China,Asus,E520,K3MSAC004218WY4,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800076X,,"55""",,100,,,,,,,,
,538,FIDS - Display 539,General Boarding Umroh Lounge Dalam Depan Pintu Masuk Kanan,2F Umroh,Departure,172.17.106.182,China,Asus,E520,,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400279Y,,"55""",,100,,,,,,,,
,539,FIDS - Display 540,General Boarding Dekat Pintu Masuk Kanan,2F Umroh,Departure,172.17.106.84,China,Asus,E520,K1MSAC003568,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400001Y,,"55""",,100,,,,,,,,
,540,FIDS - Display 541,Curbside Lounge Umroh kiri,2F Umroh,Departure,172.17.106.85,China,HP,Thin Client Elite t655,8CG42730YD,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800111T,,"55""",,100,,,,,,,,
,541,FIDS - Display 542,Curbside Lounge Umroh kanan,2F Umroh,Departure,172.17.106.120,China,Asus,E520,K3MSAC0042532KX,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400412K,,"55""",,100,,,,,,,,
,544,FIDS - Display 545,General Boarding Depan Azzahra,2F Umroh,Departure,172.17.106.115,China,Asus,E520,K3MSAC004261V75,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM500084T,,"55""",,100,,,,,,,,
,545,FIDS - Display 546,General Boarding Depan Lift Lantai 2,2F Umroh,Departure,172.17.106.116,China,Asus,E520,K3MSAC004238K4X,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800061K,,"55""",,100,,,,,,,,
,546,FIDS - Display 547,General Boarding Belakang Lift Kanan Lantai 2,2F Umroh,Departure,172.17.106.117,China,Asus,E520,K3MSAC004258FT5,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Korea ,LG,55SM5KC,807KCXMKY922,,"55""",2016,100,,,,,,,,
,547,FIDS - Display 548,General Boarding Belakang Lift Kiri Lantai 2,2F Umroh,Departure,172.17.106.114,China,Asus,E520,K1MSAC003598,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800085M,,"55""",,100,,,,,,,,
,548,FIDS - Display 549,General Boarding Belakang Alfa Express Kanan,2F Umroh,Departure,172.17.106.113,China,Asus,E520,K3MSAC004257XV8,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM800078J,,"55""",,100,,,,,,,,
,549,FIDS - Display 550,General Boarding Belakang Alfa Express Kiri,2F Umroh,Departure,172.17.106.112,China,Asus,E520,K1MSAC003566,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046KHNFM400469N,,"55""",,100,,,,,,,,
,550,FIDS - Display 551,General Boarding Pintu Masuk Keberangkatan,2F Umroh,Departure,172.17.106.83,China,Asus,E520,K3MSAC004221WXW,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,551,FIDS - Display 552,General Boarding Samping Ruang Karantina,2F Umroh,Departure,172.17.106.82,China,Asus,E520,K3MSAC004211J9G,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,552,FIDS - Display 553,General Boarding Depan Ruang Panel,2F Umroh,Departure,172.17.106.81,China,Asus,E520,K1MSAC003037,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,553,FIDS - Display 554,General Boarding Dekat Toilet,2F Umroh,Departure,172.17.106.87,China,Asus,E520,K1MSAC003600,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,554,FIDS - Display 555,General Boarding Ruang VVIP,2F Umroh,Departure,172.17.106.86,China,Asus,E520,K3MSAC004250BHV,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,555,FIDS - Display 556,General Boarding Palmera Lounge,2F Umroh,Departure,172.17.106.77,China,Asus,E520,K3MSAC004303VUX,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,556,FIDS - Display 557,General Boarding Samping Pos Security,2F Umroh,Departure,172.17.106.80,China,Asus,E520,K3MSAC0042668ZX,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,,,"55""",,100,,,,,,,,
,557,FIDS - Display 558,Checkin 101 T2F Umroh,2F Umroh,Departure,172.17.106.183,China,Asus,E520,K1MSAC003555,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600077N,,"55""",,100,,,,,,,,
,558,FIDS - Display 559,Checkin 102 T2F Umroh,2F Umroh,Departure,172.17.106.184,China,Asus,E520,K3MSAC004259C92,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600042L,,"55""",,100,,,,,,,,
,559,FIDS - Display 560,Checkin 103 T2F Umroh,2F Umroh,Departure,172.17.106.185,China,Asus,E520,K3MSAC004215YX9,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600049E,,"55""",,100,,,,,,,,
,560,FIDS - Display 561,Checkin 104 T2F Umroh,2F Umroh,Departure,172.17.106.186,China,Asus,E520,K1MSAC003554,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600022Z,,"55""",,100,,,,,,,,
,561,FIDS - Display 562,Checkin 105 T2F Umroh,2F Umroh,Departure,172.17.106.187,China,Asus,E520,K3MSAC004233SH2,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600051N,,"55""",,100,,,,,,,,
,562,FIDS - Display 563,Checkin 106 T2F Umroh,2F Umroh,Departure,172.17.106.188,China,Asus,E520,K3MSAC004280H3P,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600019W,,"55""",,100,,,,,,,,
,563,FIDS - Display 564,Checkin 107 T2F Umroh,2F Umroh,Departure,172.17.106.189,China,Asus,E520,K3MSAC00423666M,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600013R,,"55""",,100,,,,,,,,
,564,FIDS - Display 565,Checkin 108 T2F Umroh,2F Umroh,Departure,172.17.106.190,China,Asus,E520,K3MSAC004287CN3,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600085R,,"55""",,100,,,,,,,,
,565,FIDS - Display 566,Checkin 109 T2F Umroh,2F Umroh,Departure,172.17.106.191,China,Asus,E520,K3MSAC0042677YF,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600025A,,"55""",,100,,,,,,,,
,566,FIDS - Display 567,Checkin 110 T2F Umroh,2F Umroh,Departure,172.17.106.192,China,Asus,E520,K3MSAC004198BZJ,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600067F,,"55""",,100,,,,,,,,
,567,FIDS - Display 568,Checkin 111 T2F Umroh,2F Umroh,Departure,172.17.106.193,China,Asus,E520,K3MSAC0042734F7,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600008F,,"55""",,100,,,,,,,,
,568,FIDS - Display 569,Checkin 112 T2F Umroh,2F Umroh,Departure,172.17.106.194,China,Asus,E520,K3MSAC004283R6G,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM200087K,,"55""",,100,,,,,,,,
,569,FIDS - Display 570,Checkin 113 T2F Umroh,2F Umroh,Departure,172.17.106.195,China,Asus,E520,K3MSAC004279CWG,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600045B,,"55""",,100,,,,,,,,
,570,FIDS - Display 571,Checkin 114 T2F Umroh,2F Umroh,Departure,172.17.106.196,China,Asus,E520,K3MSAC004270YFG,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600023E,,"55""",,100,,,,,,,,
,571,FIDS - Display 572,Checkin 115 T2F Umroh,2F Umroh,Departure,172.17.106.197,China,Asus,E520,K3MSAC004288YTV,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600041F,,"55""",,100,,,,,,,,
,572,FIDS - Display 573,Checkin 116 T2F Umroh,2F Umroh,Departure,172.17.106.198,China,Asus,E520,K3MSAC004254RNF,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600003J,,"55""",,100,,,,,,,,
,573,FIDS - Display 574,Checkin 117 T2F Umroh,2F Umroh,Departure,172.17.106.199,China,Asus,E520,K3MSAC004202G45,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600005N,,"55""",,100,,,,,,,,
,574,FIDS - Display 575,Checkin 118 T2F Umroh,2F Umroh,Departure,172.17.106.200,China,Asus,E520,,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600052W,,"55""",,100,,,,,,,,
,575,FIDS - Display 576,Checkin 119 T2F Umroh,2F Umroh,Departure,172.17.106.201,China,Asus,E520,,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600095E,,"55""",,100,,,,,,,,
,576,FIDS - Display 577,Checkin 120 T2F Umroh,2F Umroh,Departure,172.17.106.202,China,Asus,E520,,"1 HDMI, 1DP, 3 USB",1 TB,4 GB,Win 10,,100,,Vietnam,Samsung,PM55H,046MHNDM600078W,,"55""",,100,,,,,,,,
,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,504,FIDS - Display 504,Skytrain lantai 1 Pintu Masuk T1B,1B,Skytrain,172.16.10.71,China,Intel Nuc,NUC7i3BNH,G6PY70800B4G,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,China,BOE,DV55A-A,D550134AA2Z0600084,,"55""",2025,135,HDMI,,HDMI,,,,,
,505,FIDS - Display 505,Skytrain lantai 1 Dekat Escalator T1B,1B,Skytrain,172.16.10.76,China,Intel Nuc,NUC7i3BNH,G6PY708004JA,"1 VGA, 1 HDMI",464,4GB,Win 10,2017,95,,Korea Selatan,LG,55UP7550PTC,206INNG5Q727,,"55""",2018,100,,,HDMI,,,,,
,506,FIDS - Display 506,Skytrain lantai 1 Dekat Lift T1B,1B,Skytrain,172.16.10.74,China,HP,T640 Thin Client,8CG3452KDP,DP,60GB,8GB,Win 10,2020,110,,Korea Selatan,LG,55UP7550PTC,206INVM5Q711,,"55""",2022,120,,,HDMI,,,,,
,507,FIDS - Display 507,Skytrain lantai 2 Landscape T1B,1B,Skytrain,172.16.10.79,China,Intel Nuc,NUC7i3BNH,G6PY708009TP,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,LDV55AAAXX,D550134AA2Z0600058,,"55""",2025,135,,,HDMI,,,,,
,508,FIDS - Display 508,Skytrain lantai 2 Bawah Jam Digital T1B,1B,Skytrain,172.16.10.78,China,Intel Nuc,NUC7i3BNH,G6PY70800BM2,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UN731COCT,10INAR818440,,"55""",2021,115,,,HDMI,,,,,
,509,FIDS - Display 509,Skytrain lantai 2 Dekat Lift T1B,1B,Skytrain,172.16.10.77,China,Intel Nuc,NUC7i3BNH,G6PY711004VY,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UN731COCT,104INHZ81849,,"55""",2021,115,,,HDMI,,,,,
,510,FIDS - Display 510,Skytrain lantai 1 Pintu Masuk T2E,2E,Skytrain,172.17.70.133,China,Intel Nuc,NUC7i3BNH,G6PY708009 NC,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,China,BOE,LDV55AAAXX,D550134AA2Z0600123,,"55""",2023,125,VGA & DVI,,HDMI,,,,,
,511,FIDS - Display 511,Skytrain lantai 1 Tembok Escalator T2E,2E,Skytrain,172.17.70.132,China,CGEAR,,Filled by O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",148GB,2GB,Lubuntu,2012,70,,China,BOE,LDV55AAAXX,D550134AA2Z0600079,,"55""",2025,135,HDMI,ü,VGA TO HDMI,,,,,
,512,FIDS - Display 512,Skytrain lantai 1 Lift T2E,2E,Skytrain,172.17.70.131,China,CGEAR,,Filled by O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",148GB,2GB,Lubuntu,2012,70,,Korea Selatan,LG,55UN731COCT,104INAR81816,,"55""",2021,115,HDMI,ü,VGA TO HDMI,,,,,
,513,FIDS - Display 513,Skytrain lantai 2 Bawah jam T2E,2E,Skytrain,172.17.70.134,China,Intel Nuc,NUC7i3BNH,G6PY708009YR,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UP7550PTC,206INPT5Q712,,"55""",2021,115,HDMI,,HDMI TO HDMI,,,,,
,514,FIDS - Display 514,Skytrain lantai 2 Landscape T2E,2E,Skytrain,172.17.70.135,China,Intel Nuc,NUC7i3BNH,G6PY70800BQN,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UP7550PTC,206INBS5Q709,,"55""",2022,120,HDMI,,HDMI TO HDMI,,,,,
,515,FIDS - Display 515,Skytrain lantai 2 Lift T2E,2E,Skytrain,172.17.70.136,China,Intel Nuc,NUC7i3BNH,G6PY70800AE2,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UN731COCT,104INDP81858,,"55""",2021,115,HDMI,,HDMI TO HDMI,,,,,
,517,FIDS - Display 517,Skytrain lantai 3 Lift T2E,2E,Skytrain,172.17.70.138,China,Intel Nuc,NUC7i3BNH,GBPY70800 C88,"1 VGA, 1 HDMI",464GB,4GB,Win 10,2017,95,,Korea Selatan,LG,55UP7550PTC,206INLV5Q720,,"55""",2022,120,HDMI,,HDMI TO HDMI,,,,,
,519,FIDS - Display 519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,520,FIDS - Display 520,Gatrans Kiri Cargo,Cargo,Area Cargo baru,172.16.7.212,China,CGEAR,,Filled By O.E.M,,,,Signage,2018,100,,Korea Selatan,LG,,707KCNL0A367,,"55""",2017,95,,,Signage,1,,,,
L,521,FIDS - Display 521,Gatrans Kanan Cargo,Cargo,Area Cargo baru,172.16.7.213,China,Intel Nuc,,G6BN82100H8T,,,,Signage,2018,100,,Korea Selatan,LG,,206INFK5Q731,,"55""",2021,115,,,HDMI TO HDMI,2,,,,
L,522,FIDS - Display 522,Avatar Express Kiri Cargo,Cargo,Area Cargo baru,172.16.7.214,,Digital Signage,,Signage ,,,,Signage,2018,100,,Korea Selatan,LG,,707KCUK0A366,,"65""",2017,95,,,Signage,3,,,,
L,523,FIDS - Display 523,Bangun Desa Logistik Kiri Cargo,Cargo,Area Cargo baru,172.16.7.216,,CGEAR,,Filled By O.E.M,,,,Web OS,2018,100,,Korea Selatan,LG,,210INFK1M387,,"55""",2022,120,,ü,VGA TO HDMI,4,,,,
L,524,FIDS - Display 524,Bangun Desa Logistik Kanan Cargo,Cargo,Area Cargo baru,172.16.7.217,China,HP,,8CN91608GS,,,,Win 10,2018,100,,Korea Selatan,Samsung,,,,"50""",2017,95,,,DP TO HDMI,5,,,,
,525,FIDS - Display 525,Global Kiri Cargo,Cargo,Area Cargo baru,172.16.7.218,China,HP,,8CN1010LMS,,,,Win 10,2018,100,,Korea Selatan,LG,,104INFK81867,,"55""",2021,115,DP DAN VGA,,DP TO HDMI,6,,,,
W,526,FIDS - Display 526,Global Kanan Cargo,Cargo,Area Cargo baru,172.16.7.219,China,HP,Thin Client t640,8CN1010LMS,,,,Win 10,2018,100,,Korea Selatan,LG,,707KCAS0A368/Perangkat rusak,,"55""",2017,95,,,Signage,7,,,,
L,527,FIDS - Display 527,RPX kiri Cargo,Cargo,Area Cargo baru,172.16.7.220,China,Intel Nuc,,G6PY802003X0,,,,Lubuntu,2018,100,,Korea Selatan,LG,,206INUB5Q726,,"55""",2021,115,,,HDMI TO HDMI,8,,,,
L,528,FIDS - Display 528,RPX kanan Cargo,Cargo,Area Cargo baru,172.16.7.221,China,Intel Nuc,,G6BN82100H7A,,,,Lubuntu,2018,100,,Korea Selatan,LG,55UH5C,807KCLHKY936,,"55""",2021,115,,,HDMI TO HDMI,9,,,,
L,529,FIDS - Display 529,Unex Kiri Cargo,Cargo,Area Cargo baru,172.16.7.222,Taiwan,Fujitech,,Filled By O.E.M,,,,Win 7,2018,100,,Korea Selatan,LG,,210INNG1M383,,"55""",2022,120,,,HDMI TO HDMI,10,,,,
,530,FIDS - Display 530,Unex Kanan Cargo,Cargo,Area Cargo baru,172.16.7.223,China,Intel Nuc,,G6BN80600BB8,,,,Lubuntu,2018,100,,Korea Selatan,LG,,104INUB52798,,"55""",2021,115,,,HDMI TO HDMI,11,,,,
W,531,FIDS - Display 531,Gapura Kiri Cargo,Cargo,Area Cargo baru,172.16.7.224,China,HP,Thin Client t640,8CN1010LN8,,,,Win 10,2018,100,,Korea Selatan,LG,,104INPT81896,,"55""",2021,115,,,DP TO HDMI,12,,,,
-,532,FIDS - Display 532,Gapura Kanan Cargo,Cargo,Area Cargo baru,172.16.7.225,China,HP,,8CN1010L0J,,,,Win 10,2018,100,,Korea Selatan,LG,,104INPT81872,,"55""",2021,115,,,DP TO HDMI,13,,,,
L,533,FIDS - Display 533,RPX Ujung Kiri Cargo,Cargo,Area Cargo baru,172.16.7.226,,CGEAR,,Filled By O.E.M,,,,Web OS,2018,100,,Korea Selatan,LG,,210INAR1M384,,"55""",2022,120,,ü,VGA TO HDMI,14,,,,
-,534,FIDS - Display 534,RPX Ujung Kanan Cargo,Cargo,Area Cargo baru,172.16.7.227,,Digital Signage,,Signage ,,,,Signage,2018,100,,Korea Selatan,LG,,707KCYQ0A402/perangkat rusak,,"55""",2017,95,,,Signage,15,,,,
-,535,FIDS - Display 535,POS logistik Luar Kiri Cargo,Cargo,Area Cargo lama,172.16.7.123,China,CGEAR,,Filled By O.E.M,,,,Lubuntu,2012,70,,Jepang,Sharp,,409752439 / dioffkan karena renovasi,,"50""",2012,70,,,,16,,,,
-,536,FIDS - Display 536,POS logistik Luar Kanan Cargo,Cargo,Area Cargo lama,172.16.7.124,China,CGEAR,,Filled By O.E.M,,,,Lubuntu,2012,70,,Jepang,Sharp,,409752447 /dioffkan karena renovasi,,"50""",2012,70,,,,17,,,,
W,537,FIDS - Display 537,POS Indonesia Kiri Cargo,Cargo,Area Cargo lama,172.16.7.152,China,CGEAR,Thin Client Elite t655,8CG437278L,,,8GB,Win 10,2012,70,,Jepang,Sharp,,409752444,,"50""",2012,70,,,VGA TO VGA,18,,,,
-,538,FIDS - Display 538,POS Indonesia Kanan Cargo,Cargo,Area Cargo lama,172.16.7.125,Jepang,CGEAR,,PCO3CBLO,,,,Lubuntu,2012,70,,Jepang,Sharp,,707745674,,"50""",2012,70,,,DP TO HDMI,19,,,,
